epoch,loss,acc_subspace0,acc_subspace1,acc_subspace2,lr,epoch_time_s,total_time_min
215,15.5784,5.08,15.62,8.20,0.030000,80.2,289.7
216,15.3255,5.08,14.45,11.72,0.030000,79.6,291.1
217,15.5712,6.64,18.36,11.33,0.030000,80.2,292.4
218,15.4135,5.08,20.70,14.45,0.030000,79.7,293.7
219,15.3825,8.59,22.66,12.50,0.030000,79.1,295.1
220,15.3775,7.81,16.41,11.33,0.030000,79.2,296.4
221,15.3497,7.03,13.67,14.45,0.030000,80.1,297.7
222,15.3263,8.98,16.80,16.41,0.030000,79.3,299.0
223,15.2591,3.91,18.36,13.28,0.030000,84.5,300.4
224,15.4024,3.91,14.06,10.16,0.030000,81.0,301.8
225,15.2280,6.25,16.80,13.67,0.030000,79.1,303.1
226,15.2408,5.47,14.84,14.06,0.030000,78.9,304.4
227,15.2748,6.25,17.58,9.77,0.030000,79.1,305.8
228,15.2243,5.47,19.14,10.55,0.030000,79.5,307.1
229,15.1058,7.03,19.92,14.84,0.030000,77.7,308.4
230,15.1603,3.91,16.80,14.45,0.030000,79.0,309.7
231,15.1566,7.42,15.62,13.67,0.030000,80.5,311.0
232,15.1109,7.81,17.97,12.50,0.030000,79.2,312.4
233,15.1669,5.08,17.58,12.50,0.030000,79.0,313.7
234,15.0173,8.98,18.36,17.19,0.030000,80.4,315.0
235,15.0420,7.81,19.92,12.50,0.030000,79.8,316.4
236,15.0708,4.69,15.62,8.20,0.030000,78.7,317.7
237,15.0729,7.03,21.09,14.84,0.030000,79.0,319.0
238,15.0182,10.16,21.09,14.45,0.030000,78.0,320.3
239,14.9376,9.38,20.70,12.50,0.030000,78.8,321.6
240,15.0509,5.08,19.92,14.84,0.030000,79.0,322.9
241,14.9185,6.25,22.66,16.02,0.030000,79.0,324.2
242,14.9535,4.69,17.58,14.45,0.030000,78.6,325.5
243,14.9604,6.64,21.88,12.11,0.030000,82.0,326.9
244,14.8882,4.69,19.92,12.89,0.030000,79.2,328.2
245,14.9338,5.47,17.19,13.28,0.030000,79.9,329.6
246,14.8476,5.47,22.27,8.59,0.030000,79.9,330.9
247,14.7815,7.42,22.27,16.02,0.030000,79.3,332.2
248,14.8664,6.25,17.97,17.19,0.030000,79.3,333.6
249,14.8279,7.03,19.14,16.02,0.030000,79.5,334.9
250,14.7643,8.59,26.95,15.62,0.003000,80.3,336.2
251,14.4570,8.20,23.05,12.50,0.003000,79.5,337.5
252,14.4276,5.86,24.61,12.89,0.003000,79.3,338.9
253,14.4467,6.64,26.95,14.45,0.003000,79.0,340.2
254,14.3417,7.03,23.05,15.62,0.003000,79.1,341.5
255,14.3151,7.81,25.39,15.62,0.003000,81.5,342.9
256,14.3530,8.59,18.75,15.62,0.003000,79.0,344.2
257,14.4228,8.98,20.70,19.53,0.003000,79.7,345.5
258,14.3907,5.47,25.39,12.11,0.003000,79.4,346.8
259,14.3187,6.64,21.09,17.19,0.003000,78.2,348.1
260,14.2939,6.64,24.22,19.14,0.003000,80.9,349.5
261,14.3931,8.59,22.66,14.84,0.003000,79.2,350.8
262,14.2772,7.42,26.17,18.36,0.003000,78.8,352.1
