epoch,loss,acc_subspace0,acc_subspace1,acc_subspace2,lr,epoch_time_s,total_time_min
192,1.2731,75.39,0.00,0.00,0.030000,217.1,708.2
193,1.2720,76.95,0.00,0.00,0.030000,216.4,711.8
194,1.2512,74.22,0.00,0.00,0.030000,216.6,715.4
195,1.2493,78.12,0.00,0.00,0.030000,217.0,719.0
196,1.2449,76.56,0.00,0.00,0.030000,223.9,722.8
197,1.2375,74.22,0.00,0.00,0.030000,214.6,726.4
198,1.2501,75.78,0.00,0.00,0.030000,215.6,729.9
199,1.2361,78.12,0.00,0.00,0.030000,216.2,733.6
200,1.2185,77.73,0.00,0.00,0.030000,220.2,737.2
201,1.2304,76.17,0.00,0.00,0.030000,205.0,740.7
202,1.2141,77.73,0.00,0.00,0.030000,203.1,744.0
203,1.2103,77.73,0.00,0.00,0.030000,205.5,747.5
204,1.1994,82.42,0.00,0.00,0.030000,203.3,750.9
205,1.2026,76.17,0.00,0.00,0.030000,203.9,754.3
206,1.1882,73.05,0.00,0.00,0.030000,206.3,757.7
207,1.1835,82.42,0.00,0.00,0.030000,202.3,761.1
208,1.1954,77.34,0.00,0.00,0.030000,201.9,764.4
209,1.1600,78.52,0.00,0.00,0.030000,201.9,767.8
210,1.1636,81.25,0.00,0.00,0.030000,204.4,771.2
211,1.1593,76.56,0.00,0.00,0.030000,204.0,774.6
212,1.1642,79.69,0.00,0.00,0.030000,201.3,778.0
213,1.1525,73.83,0.00,0.00,0.030000,204.1,781.4
214,1.1450,76.95,0.00,0.00,0.030000,206.0,784.8
215,1.1362,77.34,0.00,0.00,0.030000,202.2,788.2
216,1.1469,84.38,0.00,0.00,0.030000,203.0,791.6
217,1.1237,78.12,0.00,0.00,0.030000,203.2,794.9
218,1.1170,78.52,0.00,0.00,0.030000,204.8,798.4
219,1.1119,78.91,0.00,0.00,0.030000,204.2,801.8
220,1.1149,76.56,0.00,0.00,0.030000,202.3,805.1
221,1.1169,79.30,0.00,0.00,0.030000,203.9,808.5
222,1.0943,77.34,0.00,0.00,0.030000,201.9,811.9
223,1.0760,81.64,0.00,0.00,0.030000,203.0,815.3
224,1.0882,83.20,0.00,0.00,0.030000,206.5,818.7
225,1.0963,78.91,0.00,0.00,0.030000,206.9,822.2
226,1.0901,81.25,0.00,0.00,0.030000,204.4,825.6
227,1.0929,76.95,0.00,0.00,0.030000,210.2,829.1
228,1.0716,77.73,0.00,0.00,0.030000,210.4,832.6
229,1.0750,82.42,0.00,0.00,0.030000,206.8,836.1
230,1.0628,75.00,0.00,0.00,0.030000,211.2,839.6
231,1.0722,82.81,0.00,0.00,0.030000,204.9,843.0
232,1.0661,82.03,0.00,0.00,0.030000,203.1,846.4
233,1.0487,84.77,0.00,0.00,0.030000,207.5,849.8
234,1.0591,82.81,0.00,0.00,0.030000,205.6,853.3
235,1.0466,75.00,0.00,0.00,0.030000,206.7,856.7
236,1.0494,77.73,0.00,0.00,0.030000,204.8,860.1
237,1.0404,80.08,0.00,0.00,0.030000,207.6,863.6
238,1.0427,78.91,0.00,0.00,0.030000,209.5,867.1
239,1.0269,78.91,0.00,0.00,0.030000,207.3,870.5
240,1.0379,82.03,0.00,0.00,0.030000,206.4,874.0
241,1.0243,85.16,0.00,0.00,0.030000,203.9,877.4
242,1.0337,80.08,0.00,0.00,0.030000,203.3,880.8
243,1.0167,86.33,0.00,0.00,0.030000,220.5,884.4
244,1.0135,85.94,0.00,0.00,0.030000,205.0,887.9
245,1.0051,83.98,0.00,0.00,0.030000,204.8,891.3
246,0.9956,82.03,0.00,0.00,0.030000,211.8,894.8
247,0.9880,85.55,0.00,0.00,0.030000,239.4,898.8
248,0.9880,82.03,0.00,0.00,0.030000,232.0,902.7
249,0.9818,82.03,0.00,0.00,0.030000,240.7,906.7
250,0.9317,83.98,0.00,0.00,0.003000,246.6,910.8
251,0.9057,82.81,0.00,0.00,0.003000,248.2,914.9
252,0.9056,82.03,0.00,0.00,0.003000,246.3,919.0
253,0.8917,87.50,0.00,0.00,0.003000,253.5,923.3
254,0.8774,78.91,0.00,0.00,0.003000,256.2,927.5
255,0.8799,82.03,0.00,0.00,0.003000,225.2,931.3
256,0.8877,84.77,0.00,0.00,0.003000,204.1,934.7
257,0.8783,82.03,0.00,0.00,0.003000,224.3,938.4
258,0.8759,88.67,0.00,0.00,0.003000,202.8,941.8
259,0.8858,82.42,0.00,0.00,0.003000,210.9,945.3
260,0.8532,87.11,0.00,0.00,0.003000,230.8,949.2
261,0.8720,88.67,0.00,0.00,0.003000,227.2,953.0
262,0.8625,85.55,0.00,0.00,0.003000,227.8,956.8
263,0.8709,83.59,0.00,0.00,0.003000,242.3,960.8
264,0.8708,85.16,0.00,0.00,0.003000,252.1,965.0
265,0.8647,85.16,0.00,0.00,0.003000,230.6,968.8
266,0.8434,85.94,0.00,0.00,0.003000,203.2,972.2
267,0.8588,82.81,0.00,0.00,0.003000,207.8,975.7
268,0.8642,83.20,0.00,0.00,0.003000,204.9,979.1
269,0.8525,83.20,0.00,0.00,0.003000,204.6,982.5
270,0.8520,86.33,0.00,0.00,0.003000,203.7,985.9
271,0.8441,83.98,0.00,0.00,0.003000,202.8,989.3
272,0.8402,84.77,0.00,0.00,0.003000,203.9,992.7
273,0.8312,82.03,0.00,0.00,0.003000,203.6,996.1
274,0.8463,83.59,0.00,0.00,0.003000,204.6,999.5
275,0.8459,83.98,0.00,0.00,0.003000,205.2,1002.9
276,0.8272,83.98,0.00,0.00,0.003000,203.9,1006.3
277,0.8388,85.55,0.00,0.00,0.003000,203.5,1009.7
278,0.8347,82.42,0.00,0.00,0.003000,204.5,1013.1
279,0.8322,89.06,0.00,0.00,0.003000,204.7,1016.5
280,0.8310,84.77,0.00,0.00,0.003000,202.8,1019.9
281,0.8395,84.38,0.00,0.00,0.003000,202.5,1023.3
282,0.8299,89.45,0.00,0.00,0.003000,204.8,1026.7
283,0.8395,83.98,0.00,0.00,0.003000,206.4,1030.2
284,0.8165,80.47,0.00,0.00,0.003000,202.7,1033.5
285,0.8271,83.98,0.00,0.00,0.003000,201.2,1036.9
286,0.8133,87.89,0.00,0.00,0.003000,202.9,1040.3
287,0.8199,87.50,0.00,0.00,0.003000,204.3,1043.7
288,0.8120,84.77,0.00,0.00,0.003000,202.3,1047.1
289,0.8045,89.06,0.00,0.00,0.003000,202.8,1050.4
290,0.8216,87.11,0.00,0.00,0.003000,202.0,1053.8
291,0.8063,85.94,0.00,0.00,0.003000,202.0,1057.2
